ID,area,scenario,steps,expected result,actual result,status,severity,reproducibility,evidence path,notes
EX-001,Setup,Isolated QA project,Create Extract E2E QA 2026-09-26 1150 in Projects.,New project owns QA data.,Project created; existing three projects left untouched.,PASS,None,1/1,,Project 5a4a3af4-f2d3-43bc-ac4a-4b717c874054.
EX-002,Extract defaults,Default settings,Create ingestion draft; open Extract and both disclosures.,Documented defaults shown.,Auto; OCR auto/eng; rotation+deskew on; 200 DPI; 50 pages; 30 seconds; structured+Markdown; balanced; publish warnings; fail optional items; ratios 0.2/0.01/0.001; confidence 50; reading-order false; malformed-table true; empty allowlist; detection confidence 0; disallowed fail; mixed warn.,PASS,None,1/1,,Editor defaults only; runtime covered separately.
EX-003,Strategy,Auto and layout-aware persistence,Save default v1; choose layout-aware; save v3; reload.,Selected strategy persists by version.,v1 remained Auto; v3 reloaded as Layout-aware.,PASS,None,1/1,,Default Auto executed successfully in v6; layout-aware runtime variation was not rerun after encryption.
EX-004,Strategy,Native text selection,"In v3 draft select Native text, inspect setting, discard.",Native option can be selected without saving.,Native text appeared in editor; discard restored v3.,PASS,None,1/1,,Editor interaction only; Native execution not attempted.
EX-005,OCR policy,"Auto, Always and Off",Inspect v1 Auto; save v3 Always; select Off in discarded draft.,Each policy is selectable; saved choice reloads.,Auto default; Always persisted in v3; Off selected in draft and hid OCR-specific controls.,PASS,None,1/1,,Always and Auto executed on raster-only rotated PDF in EX-049; Off selection only was checked here.
EX-006,OCR languages,Installed language control,Open Extract with OCR enabled and capability response.,Only installed language is selectable.,UI offered eng; capabilities API also listed only eng.,PASS,None,1/1,,No other installed language was available for UI testing.
EX-007,OCR languages,Uninstalled language saved and run,POST v3-derived config with OCR languages=[fra]; load v4; start run.,Server rejects unavailable OCR pack before saving or running.,Browser save of historical v4 with unavailable fra OCR pack returned 422; no new version was created. The same server validation also gates run submission.,PASS,High,1/1 after fix,docs/qa/extract-followup-2026-09-26/screenshots/ex-007-unavailable-ocr-rejected.png,Root cause: ingestion graph validation accepted configured OCR languages without checking installed server packs. Fixed save/start validation. Historical v4 remains immutable and cannot run.
EX-008,OCR rotation,Rotate pages toggle,Disable rotation in v3 and reload.,Off persists.,Unchecked after reload.,PASS,None,1/1,,Toggle persistence verified; rotation effect on a rotated scan remains untested.
EX-009,OCR deskew,Deskew scans toggle,Disable deskew in v3 and reload.,Off persists.,Unchecked after reload.,PASS,None,1/1,,Toggle persistence verified; deskew effect on a skewed scan remains untested.
EX-010,OCR DPI,Valid lower and upper bounds,Save 150 DPI in v2; save 300 DPI in v3; reload both.,150 and 300 accepted and versioned.,Both saved and reloaded at their exact versions.,PASS,None,2/2,,Both bounds persist; 200 DPI OCR executed on the scanned fixture in EX-049.
EX-011,OCR DPI,Below-minimum server rejection,Enter 149 DPI and Save version.,Server rejects value below 150 without creating a version.,POST /versions returned 422; version remained v1.,PASS,None,1/1,,Error presentation defect recorded in EX-012.
EX-012,Server validation,Unusable union-schema error,Save 149 DPI; repeat with several invalid numeric values.,Short field-level error beside Extract setting.,Browser save at 149 DPI returned 422 with a short Extract · OCR resolution message at the top and beside the field; saved version stayed v14.,PASS,Medium,1/1 after fix,docs/qa/extract-followup-2026-09-26/screenshots/ex-012-inline-dpi-validation.png,Root cause: untagged schema-v2 union and unfiltered union errors. Discriminated node/chunk schemas and field-level 422 mapping now retain answer-pipeline compatibility.
EX-013,OCR page limit,Upper bound and below-minimum,Save 100 pages in v3; enter 0 and Save.,100 persists; 0 is rejected.,100 reloaded; 0 yielded 422 and no new version.,PASS,None,2/2,,Boundary validation verified; OCR page-limit enforcement remains untested with a scanned multipage fixture.
EX-014,OCR timeout,Upper bound and below-minimum,Save 60 seconds in v3; enter 4 and Save.,60 persists; 4 is rejected.,60 reloaded; 4 yielded 422 and no new version.,PASS,None,2/2,,Timeout enforcement not exercised with OCR workload.
EX-015,Table evidence,"Structured, Markdown, plain text",Inspect default; save plain text in v3; select Markdown in discarded draft.,All modes selectable; saved mode reloads.,Structured+Markdown default; plain text persisted; Markdown selected in draft.,PASS,None,1/1,,No extracted table could be inspected because schema-v2 run failed.
EX-016,Quality policy,"Balanced, Strict, Review warnings",Inspect default; save Strict v3; select Review warnings in discarded draft.,Each policy available; selected profile updates defaults.,Balanced default; Strict persisted and changed thresholds/warning action; Review warnings selected and set publish warnings.,PASS,None,1/1,,Runtime warning and strict decisions now covered in EX-050.
EX-017,Warning publication,Publish and block options,Inspect v1 Publish; save v3 Block; manually switch Block to Publish in discarded draft.,Both actions configurable.,Both choices displayed and v3 Block persisted.,PASS,None,1/1,,No warning-bearing document published.
EX-018,Optional items,Fail and exclude options,Inspect v1 Fail; save v3 Exclude and report; reload.,Both choices available; saved option persists.,v3 reloaded Exclude and report.,PASS,None,1/1,,Optional exclusion runtime now covered in EX-050 and EX-062.
EX-019,Thresholds,Empty-page ratio,Expand Quality thresholds; save maximum empty-page ratio 1; reload; enter -0.1 and Save.,Valid bound persists and negative value is rejected.,1 reloaded; -0.1 yielded 422.,PASS,None,2/2,,Quality-policy runtime effect blocked.
EX-020,Thresholds,Replacement/control ratios,Save both ratios at 1; reload; enter 1.1 and Save.,Valid upper bound persists; >1 rejected.,Both 1 values reloaded; 1.1 values contributed to 422.,PASS,None,2/2,,See numeric-server-validation.png for server error presentation.
EX-021,Thresholds,OCR confidence and quality flags,Save confidence 100 and both failure flags off; reload; enter confidence 101 and Save.,Valid choices persist; >100 rejected.,100 and unchecked flags reloaded; 101 yielded 422.,PASS,None,2/2,,Bounds verified; OCR confidence is now exposed from the scanned fixture in EX-049.
EX-022,Language policy,Allowlist and confidence,"Save en, fr allowlist and confidence 1 in v3; reload; enter confidence 1.1 and Save.",Valid values persist; >1 rejected.,"en, fr and 1 reloaded; 1.1 yielded 422.",PASS,None,2/2,,Language filtering not executed successfully.
EX-023,Language policy,Invalid language tag,Enter en_US and Save.,Invalid tag rejected without a new version.,Editor normalized to en_us; server returned 422 and retained v3.,PASS,None,1/1,docs/qa/extract-e2e-2026-09-26/screenshots/language-tag-validation.png,Same verbose error presentation as EX-012.
EX-024,Language policy,Disallowed-language action,Save Exclude and report in v3; choose Fail the run in discarded draft.,Both actions available; saved action persists.,v3 reloaded Exclude and report; Fail the run selected in draft.,PASS,None,1/1,,Disallowed-language failure and exclusion executed in EX-050 and EX-063.
EX-025,Language policy,Mixed-language action,Save Fail in v3; select Allow then Warn in discarded draft.,All three actions available; saved action persists.,Fail reloaded; Allow and Warn selected in draft.,PASS,None,1/1,,"Mixed-language Fail, Warn and Allow executed in EX-050, EX-064 and EX-065."
EX-026,Keyboard access,Checkbox keyboard operation,Focus reading-order checkbox and press Space twice.,Space toggles state.,State changed false to true to false.,PASS,None,1/1,,Tested with agent-browser keyboard.
EX-027,Keyboard access,Select keyboard operation,Focus mixed-language select; press ArrowUp/Down and Space+ArrowUp+Enter.,Focused select changes using keyboard.,Focused native select stayed on Fail after ArrowUp and Space+ArrowUp+Enter in headless and headed agent-browser sessions. Direct browser select changed it.,BLOCKED,None,2/2 agent-browser modes,docs/qa/extract-followup-2026-09-26/screenshots/ex-027-headed-native-select-unchanged.png,Automation limitation remains plausible; browser-native select keyboard behavior is not proven defective. Requires a human keyboard pass or a browser tool that can operate the native popup. Headless screenshot: ex-027-native-select-keyboard.png.
EX-028,Responsive layout,390 and 720 CSS-pixel widths,"Set viewports; open Extract, thresholds and language settings; check document scroll width.",Fields usable with no page overflow.,"At 390 and 720, scrollWidth matched viewport; controls remained visible in stacked layout.",PASS,None,2/2,docs/qa/extract-e2e-2026-09-26/screenshots/extract-mobile-390.png,Also see extract-mobile-language.png and extract-tablet-720.png.
EX-029,Unsaved changes,Dirty state blocks ingestion,Change an Extract value from saved v3.,Unsaved state shown; Run ingestion disabled.,Unsaved changes appeared; Run ingestion disabled; Preview remained available.,PASS,None,2/2,,Unsaved state verified; unsaved preview execution was not repeated after encryption.
EX-030,Unsaved changes,Discard draft,"Change multiple settings, then Discard changes.",Saved v3 restored without new version.,All tested fields reverted; Run ingestion enabled; no new version created.,PASS,None,2/2,,
EX-031,Versions,"Save, reload and select immutable versions","Save v1 default, v2 150 DPI, v3 multi-setting; reload and select v1.",Saved versions retain exact settings.,"v1 showed defaults, v2 150 DPI, v3 custom settings after reload.",PASS,None,1/1,,v4 was additionally created by direct API invalid-language probe.
EX-032,Documents,Real TXT/PDF upload through API,POST synthetic qa-source.txt and two-page qa-text.pdf into QA project.,Files accepted with persistent IDs.,The initial sparse two-page PDF and TXT each returned 201 and appeared in Knowledge Base; a corrected populated PDF was later uploaded separately (EX-054).,PASS,None,2/2,,Original sparse PDF remains a historical fixture. Browser upload was retested successfully with a separate TXT in EX-033.
EX-033,Documents,Browser upload submit,Use agent-browser to choose file and click Upload document in two isolated sessions; retry with scroll into view.,Form submits or shows validation promptly.,agent-browser selected browser-upload.txt and submitted the browser form; POST /documents returned 201; browser preparation succeeded and persisted one chunk.,PASS,None,1/1 after retry,docs/qa/extract-followup-2026-09-26/screenshots/ex-033-upload-prepared.png,"Original click stall was transient browser automation/session behavior, not a confirmed product defect. Isolated encrypted QA upload; existing project files untouched."
EX-034,Documents,Prepare TXT and PDF in UI,Click Prepare and Start processing for each real file.,Both reach succeeded with inspectable chunks.,TXT v1 succeeded with 1 chunk; initial sparse PDF v1 succeeded with 2 small chunks. Corrected PDF processing is EX-054.,PASS,None,2/2,,Legacy document processing only. Initial PDF success did not establish meaningful extraction coverage.
EX-035,Source selection,Explicit Existing Files membership,Select QA TXT and initial PDF in v1; later replace initial PDF with corrected PDF in saved v5.,Two processed documents selected; pipeline becomes savable.,v5 exact membership was QA TXT plus corrected PDF (document IDs 09860122-7b7d-4cbe-b22f-6539a392150e and 0a0dc23d-4668-4b58-a2c5-fedeb2b1d24d); old PDF deselected.,PASS,None,1/1,,Saved v5 is the corrected-document configuration.
EX-036,Preview,Real processing preview,"Preview saved v6 with encrypted TXT/PDF; inspect Raw, Extracted, Cleaned and Chunks tabs.",Preview runs and shows Extract/Clean/Chunk findings without publishing.,"POST /ingestion-previews returned 202; preview succeeded with 2 included, 0 failed and quality pass for both. PDF Extracted, Cleaned and Chunks content was inspectable; preview did not publish a new index.",PASS,None,2/2 after encryption,docs/qa/extract-e2e-2026-09-26/screenshots/encrypted-preview-stage-inspection.png,Historical plaintext v1/v5 preview attempts returned 503. The unsaved-preview variation was not repeated after encryption.
EX-037,Ingestion,Saved-version run submission,Save v1 and click Run ingestion.,202 job and exact immutable version displayed.,"POST returned 202; editor showed Saved version 1, queued node states and run progress.",PASS,None,1/1,,Processing outcome recorded separately.
EX-038,Ingestion,TXT/PDF schema-v2 processing,Submit saved v6 with encrypted TXT/PDF; inspect run and both run items through publication.,Extract through Publish complete for both files.,"Run 2e077f38-0539-4e86-a2de-f05941c64dcc succeeded at 100%: 2/2 items processed, 9 chunks embedded, index version 1 published. All Extract/Clean/Chunk/Embed/Publish nodes completed.",PASS,None,1/1 after encryption,docs/qa/extract-e2e-2026-09-26/encrypted-v6-evidence.json,Historical plaintext v1/v5 runs failed at Clean. Saved v6 exact source IDs and run version ID are in the evidence JSON.
